anime_id,mean_rating,count
1,8.776724137931035,2320
5,8.34965034965035,1001
6,8.207658321060382,1358
20,7.813849394418114,3798
30,8.271403197158081,2815
32,8.422160664819945,1805
33,8.460606060606061,1155
43,8.21521456436931,1538
47,7.908129175946548,1796
59,7.583557951482479,1484
71,7.7618083670715246,1482
72,8.248055315471046,1157
101,7.4692737430167595,1074
120,7.9202407825432655,1329
121,8.300603217158177,2984
164,8.681242807825086,2607
199,8.76313704779509,3787
205,8.499514091350827,2058
223,7.946694003075346,1951
225,6.528703047484054,1411
226,7.661654135338346,3458
227,7.958246346555324,1916
232,8.235063663075417,1021
245,8.766623207301173,1534
249,7.829290206648698,1113
268,8.004940711462451,1012
269,7.867251782775645,1823
270,7.523386619301362,1689
317,7.8469026548672565,1130
339,7.997418244406196,1162
355,7.740993788819876,1610
356,7.486173059768064,2242
430,7.739807264640475,1349
431,8.56657018813314,2764
437,8.295967741935485,1240
457,8.813856427378965,1198
512,8.206281227694504,1401
513,8.263846153846155,1300
523,8.264159292035398,2260
527,7.248290013679891,1462
528,7.498109640831758,1058
552,7.760372565622354,1181
572,8.338461538461539,1105
578,8.48165137614679,1526
777,8.519656897784131,1399
790,8.106481481481481,1080
813,8.041205139565795,2257
849,8.05521472392638,2771
853,8.361657597321054,2389
857,7.5213505461767625,1007
889,8.111397627643115,1939
918,9.076237623762376,1010
934,8.215593929879644,1911
1195,7.539504441327723,2139
1210,8.45,1740
1482,8.285714285714286,1099
1519,8.243823146944083,1538
1530,8.23069306930693,1010
1535,8.717718268525312,5452
1575,8.77828709288299,4145
1686,7.535564853556485,1195
1689,7.862246923382295,2519
1691,7.357575757575757,1155
1735,8.127709431751612,1707
1818,7.956356736242884,1581
1840,7.600355239786857,1689
1887,7.968823529411765,1700
1889,8.376373626373626,1456
1943,8.048780487804878,1230
2001,8.803035778821828,2767
2025,8.256782945736434,2064
2034,8.2279792746114,1351
2167,8.265595463137997,3174
2236,8.32738354375272,2297
2251,8.549665178571429,1792
2476,5.962569549822964,1977
2593,7.703787878787879,1320
2759,8.093979441997064,1362
2787,7.819095477386934,1194
2890,7.853355426677713,1207
2904,8.949972512369433,3638
2966,8.269782262347318,1883
2993,6.9885595423816955,1923
3455,7.308659217877095,1432
3457,7.26857490864799,1642
3470,7.732580037664784,1062
3588,8.040590405904059,2439
3712,7.465968586387435,1528
3782,7.845798707294552,1083
3783,8.106090373280942,1018
3784,8.416861826697891,1281
4059,8.035714285714286,1512
4063,7.326278659611993,1134
4081,8.390084190832553,1069
4181,9.063069631790011,2743
4214,7.070464767616192,1334
4224,8.398253698763037,4123
4382,7.189772727272727,1760
4654,7.656160458452722,1745
4752,7.4566067240031275,1279
4898,7.801033591731266,1935
4975,6.537912578055308,1121
5081,8.39631650750341,2932
5114,9.25376762275158,4114
5341,8.433356594556873,1433
5630,8.014093529788598,1561
5680,7.8983658828218415,2509
5681,8.177764202810017,1637
5958,7.5251572327044025,1272
6045,8.178074245939674,1724
6213,7.762992125984252,1270
6347,7.743768115942029,1725
6351,7.866498740554156,1191
6547,8.272449459332393,4254
6573,7.649468892261002,1318
6702,7.8236462990561355,2013
6707,7.426929392446634,1218
6746,8.402286135693215,2712
6880,7.21872376154492,2382
6956,7.7566302652106085,1282
7054,8.134883720930233,2365
7059,7.095636025998143,1077
7088,7.065233506300964,1349
7311,8.748925721301411,1629
7593,6.796411318150448,1449
7674,8.376487053883835,1429
7724,7.953348382242288,1329
7791,8.21033434650456,1645
7817,7.160392798690671,1222
8074,7.239878234398782,3285
8425,8.18925421010425,1247
8516,7.900584795321637,1197
8525,7.856828193832599,1816
8630,6.964147286821706,1032
8675,7.753510140405616,1282
8769,7.321445113478462,2159
8841,7.5045714285714284,1750
8861,6.410194174757281,1236
8937,7.755892255892256,1188
9041,6.8634615384615385,1560
9253,9.173691275167785,3725
9260,8.338095238095239,1050
9513,7.93491124260355,1014
9515,6.508612873980055,1103
9656,8.059187279151944,1132
9756,8.464615384615385,2925
9919,7.6692498450093,3226
9989,8.40126582278481,3160
10030,8.405703771849126,1087
10067,7.350505979760809,1087
10080,8.035201149425287,1392
10087,8.446469248291573,2634
10110,7.345724907063197,1345
10162,8.572878897751995,1379
10165,8.467266775777414,1222
10408,8.385780885780886,1716
10620,7.6639186589722454,3639
10719,7.428635749662314,2221
10790,7.631043256997455,1179
10793,7.603351955307263,2327
10863,8.310228802153432,1486
11013,7.579036348267118,1183
11061,9.156049593843523,2339
11111,7.600737100737101,3256
11319,7.509009009009009,1110
11433,7.578743961352657,1035
11499,7.423905943827564,1531
11577,8.48361204013378,1495
11597,8.17628705148206,1923
11617,7.444779494911421,2653
11633,7.3907473309608545,1405
11741,8.685815289438798,2263
11757,7.395997574287447,4947
11759,7.345686900958467,1565
11771,8.22822210901681,1963
11843,8.29245283018868,1696
11887,7.908163265306122,1764
12189,8.194132029339853,2045
12355,8.645622394282311,1679
12445,7.836575875486381,1028
12549,6.694151486097795,1043
13125,8.504058441558442,1232
13601,8.508835341365462,2490
13659,7.211870255348516,1449
13759,8.27214377406932,2337
14075,8.0438946528332,1253
14227,7.631627056672761,2188
14289,7.538085255066387,1431
14345,7.485685071574642,1956
14467,7.536979490366687,1609
14513,8.08801817149347,1761
14713,7.976945244956772,1041
14719,8.217961654894047,1982
14741,7.831440087944302,2729
14749,7.13338997451147,1177
14813,8.074237412715913,2721
14967,7.550061804697157,1618
15051,7.503831417624521,1044
15225,7.3002441008950365,1229
15315,7.609738884968243,1417
15451,7.555058692006708,1789
15583,7.253869969040248,1938
15689,7.966947504860661,1543
15809,7.868852459016393,2989
16001,8.043726235741445,1052
16067,8.164761904761905,1050
16498,8.500865884163941,5197
16592,7.253280091272105,1753
16706,8.202941176470588,1020
16742,7.175068119891008,1468
16762,7.209281164695177,1099
16782,8.06973058637084,1893
16894,8.321243523316062,1544
17074,8.82228490832158,1418
17265,8.101279317697228,1876
17729,7.523235800344234,1162
17895,7.836549375709421,1762
18115,8.345323741007194,1390
18153,7.641933939684059,2089
18277,7.2752761257434155,1177
18507,7.447690217391305,1472
18671,7.461149715729627,1583
18679,8.24759111855886,2387
18897,7.73144208037825,2115
19163,7.197485207100592,1352
19221,7.3637961335676625,1138
19815,8.24354628422425,3835
20021,6.437686939182453,1003
20507,8.01317330210773,3416
20583,8.5234375,2176
20785,7.576411960132891,1806
20787,7.108379888268156,1790
20899,8.049558723693144,1473
21855,7.974088291746641,1042
21881,6.8315858453473135,3052
21995,7.659027777777778,1440
22043,7.912621359223301,1030
22147,7.611788617886178,1476
22199,7.435647143890094,2766
22297,8.226396440929314,2023
22319,7.712856043110085,3897
22535,8.428999625327839,2669
22729,7.437170805116629,1329
22789,8.459070072036674,1527
23199,8.068103448275862,1160
23233,6.770034843205575,1148
23273,8.745429925524713,2954
23277,7.6291278577476715,1181
23281,7.366539923954373,1315
23283,8.092329545454545,2112
23289,8.099089448312801,1867
23321,7.582426778242678,1195
23755,7.963649073750437,2861
23847,8.248469387755103,1960
24415,8.357723577235772,1230
24439,7.613109512390088,1251
24703,7.340520446096654,1345
24833,8.033235170382836,2377
25013,8.059049079754601,1304
25157,7.225563909774436,1463
25183,7.339466421343146,1087
25397,6.345581802274715,1143
25777,8.346626786307743,3009
26055,8.44748201438849,1390
26243,7.431183341797867,1969
26349,7.383587786259542,1048
27775,7.902524544179523,1426
27787,7.3106936416184976,1384
27821,8.19644527595884,1069
27899,6.956328897987035,2931
28121,7.587301587301587,2520
28171,8.335697399527186,2538
28223,8.214726291441789,2594
28297,8.105167724388032,1103
28497,7.381412639405204,1345
28623,7.107641196013289,1505
28677,7.688037012557833,1513
28701,8.352425482174167,1711
28825,7.362236628849271,1234
28851,8.978837756130332,2977
28891,8.725436681222707,1832
28907,7.75876923076923,1625
28927,7.561764705882353,1360
28999,7.679902755267423,2468
29786,7.3269908386187454,1419
29803,7.9354553492484525,2262
30015,8.039356984478935,1804
30123,7.828431372549019,1020
30240,7.825730994152047,1710
30276,8.576587493940863,4126
30296,7.496068152031455,1526
30307,7.1949882537196554,1277
30503,8.218736383442266,2295
30544,6.8187650360866074,1247
30654,8.45404071560765,1621
30831,8.057609057609058,3003
31043,8.306729264475743,3195
31240,8.30056087099967,3031
31404,6.93006993006993,1001
31478,7.664,1500
31580,7.52734375,1024
31637,7.853623188405797,1380
31722,7.087782805429864,1105
31765,7.611241217798595,1281
31798,7.442675159235669,1256
31859,7.638198757763975,1288
31933,8.51340373679935,1231
31964,8.064374140302613,3635
32182,8.384978540772533,2330
32281,8.895805855974677,3791
32282,8.203264876250659,1899
32542,7.532687651331719,1239
32615,8.025210084033613,1428
32729,7.583639705882353,1088
32867,8.11832740213523,1124
32901,6.585504885993485,1228
32935,8.8125,1536
32937,8.238012958963283,2315
32949,7.254170755642787,1019
32951,7.121266968325791,1105
32995,7.928033472803348,1195
32998,7.7749510763209395,1022
33206,8.030017657445557,1699
33255,8.425511197663097,1027
33352,8.619541484716157,1832
33486,8.356452726017944,2898
33487,6.796380090497737,1326
33506,7.439814814814815,1080
33674,8.282682512733446,1178
34134,7.383222691611346,1657
34240,8.111795774647888,1136
34280,6.967894239848914,1059
34577,7.830734966592428,1347
34599,8.714939896966229,1747
34618,7.341018251681076,1041
34902,7.6976744186046515,1247
34933,7.33216986620128,1719
35073,7.733974358974359,1560
35120,7.862637362637362,1274
35507,7.682249817384952,1369
35760,8.487585616438356,2336
35788,8.141234918381832,1409
35790,8.028535980148883,1612
35849,7.225845410628019,1656
35968,7.948075201432408,1117
36456,8.258234519104084,2277
36474,7.5251491901108265,1173
36511,6.540983606557377,1159
36949,8.047397769516728,1076
37349,7.528799444829979,1441
37430,8.07509025270758,1385
37450,8.264467592592593,1728
37510,8.801033591731267,1548
37520,8.208450704225353,1065
37521,8.683918669131238,1082
37675,7.8966639544345,1229
37779,8.57192118226601,2030
37999,8.368391764051196,1797
38000,8.579598804950917,2343
38408,8.044912280701755,1425
38524,8.981290004923682,2031
38691,8.272612270714738,1581
39587,8.444746376811594,1104
40221,7.570200573065903,1047
40591,8.72653721682848,1236
